name,whiteSpaceArea,graphicSpread,graphicDistance,graphicSize,graphicSizeVar,graphicSizeMin,groupSizeVar,groupDistanceMin,graphicXSymmetry,graphicXAsymmetry,graphicYSymmetry,graphicYAsymmetry,textXsymmetry,textXAsymmetry,textYsymmetry,textYAsymmetry
1731_1,0.680995689771975,1.0010621584837756,20.410852260362127,0.03861332900947421,0.7114049274682747,0.4278713021422076,0.012871109669824736,856.1940452650852,-0.7329473027695415,-1.305907524177636,-0.6811885875341835,-1.2861350764870836,0.0,-1.0,0.0,-1.0
832_1,0.24992883949238726,1.0010621545660583,0.0726992407398036,0.04303514506827119,0.6977708074348091,0.08075082811924929,0.014345048356090398,80.18796582757425,0.0,-1.0,-0.7834119560180033,-1.3252144017014016,0.0,-1.0,-0.10659553259634572,-1.0512437049776673
246_1,0.7406922473471943,1.0010621580307373,-0.04433840433163727,0.1816578117311257,0.8981317108858063,0.0,0.06055260391037523,110.26929316580208,-0.8371681254467391,-1.3458708322491106,-0.7924801116392002,-1.328690775526915,0.0,-1.0,0.0,-1.0
247_1,0.10998041203637887,1.0010621541119897,-0.04812640169901505,0.01306047140343194,0.3795567264650029,0.16384595231857482,0.004353490467810647,100.12741850060968,0.0,-1.0,-0.6424611691215467,-1.2713271172920295,0.0,-1.0,-0.1396109352924752,-1.0663697108994483
1493_1,0.5344483648699635,1.0010621575246519,0.6148850082819256,0.04950404058419979,0.759995720474949,0.1553798665737331,0.01650134686139993,312.3999539506227,-0.5313179116932261,-1.2285379835040788,-0.5012721474379034,-1.2168436320299512,0.0,-1.0,0.0,-1.0
2206_2,0.566978054531663,1.0010621586027428,26.747005126303616,0.022706793636639803,0.530387509340179,0.7679247027636238,0.007568931212213268,1072.3081500636442,-0.6731593397707437,-1.283066931641986,-0.4201498148204529,-1.1848558396187454,0.0,-1.0,0.0,-1.0
579_1,0.3476974662662657,1.001062151061443,28.461198226610346,0.007384197817144694,0.19728759967670442,1.0773649918556574,0.0024613992723815648,553.9509227438645,-0.6083655985698706,-1.2582597297343265,-0.6233938586188862,-1.2640240631132469,-0.7876824517244053,-1.3268511977707278,-0.42776724161514956,-1.1878895039372768
207_1,0.3875372566519171,1.0010621346300408,21.696867758018573,0.007622778994143535,0.20023390899082638,0.894502039746997,0.0025409263313811783,320.71262563043786,-0.6727248191469395,-1.2829008705712455,-0.6468498434229867,-1.2730066451104276,-0.9144302483575387,-1.3758492824505277,-0.42776724161514956,-1.1878895039372768
629_1,0.7348094426015523,1.0010621517259832,5.045036166290712,0.09966261114763668,0.8005122254547573,0.014947602829447217,0.03322087038254556,190.58224070601378,-0.8514240088393676,-1.351372295113411,-0.6974042456968674,-1.2923297660298743,0.0,-1.0,-0.7643139486030578,-1.3179011521471546
2084_1,0.5159489133662201,1.0010621584437538,9.754151570223923,0.03774553499249247,0.6945030411912216,0.28627368379317364,0.01258184499749749,478.27485386897774,-0.408945748320699,-1.1803809961907616,-0.626651845597177,-1.2652726887102599,0.0,-1.0,0.0,-1.0
1761_1,0.5786970888920662,1.0010621577836367,4.502673230343646,0.04744799683915816,0.6807573028482864,0.1810420904396809,0.015815998946386054,355.17108184892004,-0.43394891975391325,-1.1903463698676733,-0.6299900258565274,-1.2665517007580713,0.0,-1.0,0.0,-1.0
1268_1,0.6268792589363816,1.0010621586767714,28.0,0.027214603144273996,0.6419142223905445,0.7228549440050954,0.009071534381424665,1242.2245271433944,-0.7504389052176625,-1.312593596449503,-0.44981813335157084,-1.1966337412946741,0.0,-1.0,0.0,-1.0
980_2,0.5191776672219608,1.001062133364715,18.44346682308944,0.026954326327633893,0.5311353504777223,0.5014512144915602,0.008984775442544632,232.67364720173347,-0.6138329423693659,-1.2603577661098933,-0.7177718606083238,-1.3001096754722643,-0.7718857675508063,-1.3207994439772268,-0.1396109352924752,-1.0663697108994483
32_1,0.44321582206738197,1.0010621581901802,10.731509413902613,0.024082142827716948,0.50331338242754,0.5332840311917273,0.008027380942572316,566.7924483888863,-0.5385200862427024,-1.231331210985543,-0.6333309597152719,-1.2678314305426654,-0.3562742078652437,-1.159121105042025,-0.42776724161514956,-1.1878895039372768
83_1,0.4312049320341044,1.001062132903647,28.595764486884434,0.010126518976841086,0.3030848516181758,1.0318148459734724,0.0033755063256136956,375.4849044745486,-0.6409001692296044,-1.2707296138875055,-0.56543462041052,-1.241739495551323,-0.9144302483575387,-1.3758492824505277,-0.6689178792355489,-1.2814458614453859
1863_1,0.5903512680509916,1.0010621587695456,-0.08942097754906264,0.072115787999172,0.6454433186858879,0.03068839233586327,0.024038595999723997,338.2798038906452,-0.7060636278556478,-1.2956373833162451,-0.6950885234450066,-1.2914452042716233,0.0,-1.0,0.0,-1.0
1587_1,0.7278027131090873,1.0010621565773778,11.0,0.07867774793535878,0.8154528836659455,0.06660929432013774,0.02622591597845293,315.20553230025735,-0.784145017834471,-1.3254953276655455,-0.6117696696865568,-1.2595661395695417,0.0,-1.0,0.0,-1.0
1203_2,0.6743146028858236,1.0010621585821078,10.097781726170208,0.04777019701968949,0.6974238994252101,0.2410005723376599,0.015923399006563164,629.4723206668822,-0.775328447942255,-1.3221177134542754,-0.5494827241324394,-1.2355761315455935,0.0,-1.0,0.0,-1.0
2343_1,0.4851349133424376,1.0010621575773397,0.4320163699035935,0.0392783757070281,0.688935343668332,0.22184165232358008,0.0130927919023427,337.3537790545359,-0.3816887932063747,-1.169427326152108,-0.47351215457752166,-1.2059716796230724,0.0,-1.0,0.0,-1.0
840_2,0.31306149999456434,1.001062157545425,23.959556892029322,0.009138851417347165,0.32319014871334995,0.8735158501440923,0.0030462838057823886,704.9571824988853,-0.16050539941275102,-1.0757831302167775,-0.45496636703590704,-1.1986675891155916,-0.3209785716553829,-1.1446434764556126,-0.7643139486030578,-1.3179011521471546
410_2,0.19914620679350767,1.0010621576370098,27.753714162033894,0.0030418088199058615,0.0973489558415544,1.149483669548511,0.0010139362733019538,742.2316696833053,0.0,-1.0,-0.707592105210091,-1.2962212109988374,-0.3209785716553829,-1.1446434764556126,-0.1396109352924752,-1.0663697108994483
2063_2,0.5229694038686287,1.0010621587493376,11.766530674741945,0.04430762059815397,0.7059736285597505,0.2042408842418131,0.014769206866051323,525.3931628471541,-0.5670436405442458,-1.242360344779777,-0.5384774856944317,-1.2313146997145512,0.0,-1.0,0.0,-1.0
1762_2,0.5289672778536444,1.0010621345235569,21.955757427899538,0.017857177566559444,0.5407064675820467,0.8130230010952902,0.0059523925221864815,454.84217801708616,-0.6493140271051393,-1.2739494785271346,-0.44275993827772364,-1.1938407259631332,-0.8225585285498538,-1.3402442167254618,0.0,-1.0
1368_1,0.629211995156153,1.0010621581430914,24.922200994768488,0.03477554657357075,0.6554760557908895,0.5390792036725534,0.011591848857856918,760.0361631064075,-0.7839063551798798,-1.3254038648239514,-0.4321130405571526,-1.1896171730836222,0.0,-1.0,0.0,-1.0
2360_1,0.6738984987079963,1.0010621584059616,22.915669585568242,0.0387443044589884,0.6463145297906631,0.44480242388071833,0.012914768152996135,752.2234095754944,-0.7390168823181471,-1.3082270865354981,-0.6974735768122515,-1.2923562489222453,0.0,-1.0,0.0,-1.0
2202_1,0.5868533109306343,1.0010621490790736,0.09280583382566301,0.07626516775481319,0.8837385564072316,0.08516439590136247,0.02542172258493773,158.7339866686187,-0.5010413963861841,-1.2167535406794265,-0.8067666027238939,-1.3341736867462723,0.0,-1.0,0.0,-1.0
1639_1,0.4924335009659514,1.001062158674053,15.802601249826068,0.027547729350324447,0.6304968594742915,0.49483646435700174,0.009182576450108148,723.4747878228701,-0.5265402040529832,-1.2266830119196617,-0.5090947252560262,-1.2198951587924154,0.0,-1.0,0.0,-1.0
1457_1,0.6323164514284961,1.0010621549855157,1.2483721651533652,0.0265293340979718,0.5894286135941363,0.6073672068373711,0.0088431113659906,614.8059905321678,-0.8073212732655908,-1.3343867220945458,-0.397250669525658,-1.1756931614684016,-0.9708469381665754,-1.398055764132517,0.0,-1.0
843_1,0.4012882468505844,1.0010621584182289,23.495571920877865,0.012388516268756759,0.3940189781890203,0.994237186293155,0.00412950542291892,970.8681706280344,-0.5578422044013548,-1.2388079067116813,-0.5239021229868078,-1.2256580488102005,-0.686715874779372,-1.2882468002152303,-0.6689178792355489,-1.2814458614453859
568_2,0.4326270164523511,1.0010621435489822,0.2478000233002297,0.03660819621403868,0.6626474929513427,0.1971757925072047,0.012202732071346227,183.87498127202082,-0.7809054666131664,-1.324253985877979,-0.599604973970103,-1.254895468717653,-0.9293371084474615,-1.3816867470165943,-0.6689178792355489,-1.2814458614453859
2196_1,0.5582663945565024,1.0010621574427774,9.912727707370053,0.04434305716163743,0.7244866686811993,0.2238152610441766,0.014781019053879144,361.27387201259853,-0.5620375300020054,-1.2404282244342224,-0.5111400653232329,-1.220692206748337,0.0,-1.0,0.0,-1.0
2167_1,0.5078981708498127,1.001062158702107,12.204656954968451,0.03926036335934826,0.7337719613951568,0.25875712950072055,0.01308678778644942,573.8583989894886,-0.5066908587196169,-1.218957964679973,-0.5330782278654029,-1.229221023855021,0.0,-1.0,0.0,-1.0
940_1,0.7379133117985204,1.001062158388777,7.785436658871714,0.10996984124731986,0.9016235138066439,0.045139261138790694,0.03665661374910662,283.8366548414413,-0.7593610969904115,-1.3160060868817425,-0.7744183417948132,-1.3217691839332701,0.0,-1.0,0.0,-1.0
1867_1,0.6959010998838838,1.0010621584407318,-0.08785285574659318,0.08179311163620001,0.8214384362523336,0.042060802415161025,0.027264370545400003,318.7141570945409,-0.8118021347872467,-1.3361081856702404,-0.5656230939943357,-1.2418122266871625,0.0,-1.0,0.0,-1.0
1358_1,0.6898797986153705,1.0010621446315962,0.09489985234069967,0.11002761891203308,0.8660753777714697,0.003143213247076962,0.036675872970677696,134.2837996073845,-0.7391486847170219,-1.3082774616980726,-0.5234170120291561,-1.225469514478969,0.0,-1.0,0.0,-1.0
241_2,0.5966713322288197,1.0010621494778973,13.82772185886115,0.0320813027268453,0.6756421334211866,0.44455069426250965,0.010693767575615099,367.6236657766637,-0.6941418735404791,-1.291083596280305,-0.6694578766488106,-1.2816522602327625,-0.3506834068781198,-1.156841036664024,-0.1396109352924752,-1.0663697108994483
2188_1,0.576222936093271,1.0010621585928159,-0.05052485673046525,0.06939089030057342,0.8298632215220473,0.07494260455671321,0.023130296766857808,321.9497477224739,-0.6383914462871111,-1.2697692184920046,-0.7097304709413857,-1.2970380004993463,0.0,-1.0,0.0,-1.0
2050_2,0.4768811218886234,1.0010621574359664,0.28195225134469176,0.03045088000928374,0.6477284185785585,0.34698795180722897,0.010150293336427913,435.26209262172614,-0.3832592836285269,-1.1700611665412601,-0.491722654142699,-1.2131114485421872,0.0,-1.0,0.0,-1.0
1597_1,0.4638274118896226,1.0010621458351292,-0.040562111215515895,0.09050580943371196,0.9005191220521849,0.03291026173660158,0.030168603144570653,88.89795671750754,-0.4442115101294519,-1.1944155743074352,-0.5422627897414901,-1.2327813422617002,0.0,-1.0,0.0,-1.0
1923_1,0.5378065657494714,1.001062157413674,11.715730561645577,0.04876618678871021,0.7691742695745858,0.20001642935377895,0.016255395596236736,326.2191926081709,-0.5327682198892487,-1.2291007500291027,-0.514126605718574,-1.2218554317127026,0.0,-1.0,0.0,-1.0
2157_2,0.6625866084719246,1.001062158503327,7.545202446056658,0.08495236800609807,0.8521371746808991,0.06169276034619759,0.028317456002032688,310.22399770993235,-0.6860422955099729,-1.2879894696579328,-0.7139221929636359,-1.298639138333965,0.0,-1.0,0.0,-1.0
816_2,0.6085302250439153,1.0010621586752801,27.786995194313224,0.02279362109350994,0.5314837082281694,0.8213346976847793,0.007597873697836647,1224.8172349530923,-0.7300007616830646,-1.304781624247419,-0.6397880554226129,-1.2703038922010983,-0.9483470450900411,-1.3891612479451731,-0.1396109352924752,-1.0663697108994483
183_2,0.4373166393052345,1.0010621575898162,18.393026778029856,0.022421730128745015,0.494890213761729,0.5516818528564161,0.007473910042915005,513.6878856377448,-0.7317048580258403,-1.3054327634436604,-0.5586487153920151,-1.2391194782301083,-0.911313042257116,-1.3746310837275173,0.0,-1.0
1234_1,0.6233760657962232,1.0010621485769484,1.8172143673844465,0.034252426150171156,0.6537656239823174,0.3784468715985436,0.011417475383390385,385.90156144188296,-0.6891140608196666,-1.2891629641443518,-0.6544075530565904,-1.2758979133800517,-0.8213456766480746,-1.339777585738311,0.0,-1.0
1549_1,0.5273952044787873,1.0010621585015873,22.23804270664728,0.021622891130283914,0.5264813450105061,0.7567125465358292,0.007207630376761305,920.839428692997,-0.6172679662088635,-1.261675353586375,-0.4296624119516981,-1.1886431973445493,-0.019892749115801654,-1.0098698762913763,0.0,-1.0
